Author,Pub Date,Rating,Substance,Title,href
Maloi,Aug 10 2005,Recommended,LSD,Blue & Black,exp.php?ID=18759
Jack M.,Mar 25 2005,Recommended,LSD,Minty Fresh,exp.php?ID=14224
Punktuality,Nov 21 2004,Recommended,LSD,Ego Death and Loss of Reality,exp.php?ID=34238
Cheeb,Nov 17 2004,Recommended,LSD,Trippin' Tree and the Hallucinations,exp.php?ID=11370
Jesse,Oct 5 2003,Recommended,LSD,Intruding on God's Turf,exp.php?ID=10440
Strazi,Oct 5 2003,Recommended,LSD,An Unexpected Twist,exp.php?ID=9980
god,Oct 3 2003,Recommended,LSD,Tastes Like Laughter,exp.php?ID=27292
Ted,Oct 2 2003,Recommended,LSD,Still Dancing,exp.php?ID=24938
Cat,Sep 7 2003,Recommended,LSD,A Terrifying Enlightenment Experience,exp.php?ID=26645
beelzebud,Jan 17 2002,Recommended,LSD,Bit in the Ass,exp.php?ID=5566
Walter,Dec 13 2001,Recommended,LSD,First Trip at a Festival,exp.php?ID=2939
FlowGnome,Dec 13 2001,Recommended,LSD,Making Sense of the Senseless,exp.php?ID=3174
^^aDc0vv,Dec 6 2001,Recommended,LSD,Absent Reality,exp.php?ID=3045
Jackass,Sep 30 2001,Recommended,LSD,Empty Vial,exp.php?ID=9633
Muriel,Aug 20 2001,Recommended,LSD,Helped Me Become Someone That I Can Love,exp.php?ID=5345
Smiling Sound,Mar 3 2001,Recommended,LSD,A Psychedelic Way of Life,exp.php?ID=3690
Zen,Jun 22 2000,Recommended,LSD,Releasing a Soul Into the Rainbow Dome,exp.php?ID=1104
plastic world,Nov 12 2018, ,LSD,A Healing Journey Inwards,exp.php?ID=112543
theorm,Oct 21 2018, ,LSD,Jazz Trip to Bad Trip,exp.php?ID=70308
DarkDesire27,Oct 4 2018, ,LSD,Reality: Light Through Glass,exp.php?ID=112405
Emilays,Aug 16 2018, ,LSD,Famous Last Words,exp.php?ID=111357
Cadmium,Jun 22 2018, ,LSD,Not Enlightened but Entertained,exp.php?ID=112021
Fish,Jun 11 2018, ,LSD,A New Breath,exp.php?ID=111044
LonelyGod,Jun 9 2018, ,LSD,Lonely Delusions of Being God,exp.php?ID=111973
gram,Jun 8 2018, ,LSD,My Infinitely Recursive Friday,exp.php?ID=72237
Michael,Jun 8 2018, ,LSD,"Loss of Ego, Loss of Phobia",exp.php?ID=71403
OBrook8514,Apr 19 2018, ,LSD,One Last Time Before Committing to Reality,exp.php?ID=46669
Mr. Disco,Apr 19 2018, ,LSD,My Most Noteworthy Trip,exp.php?ID=87819
Tassie,Mar 29 2018, ,LSD,Tasmanian Takes a 4Way Trip1972,exp.php?ID=97785
Austin,Mar 18 2018, ,LSD,Understanding Loops,exp.php?ID=97314
peacek30,Feb 28 2018, ,LSD,"Jim, Don't Give Me That look...",exp.php?ID=68181
PseudoIvyAlum,Feb 8 2018, ,LSD,Absurd Reincarnations Psychological Surgery,exp.php?ID=108860
The Acidmost Layer,Feb 5 2018, ,LSD,"Star of David Nausea, Identity Fragmention",exp.php?ID=111446
Mangloria,Jan 5 2018, ,LSD,My Toilet Turned Into A Thirsty Cat,exp.php?ID=98798
believingisart,Sep 3 2017, ,LSD,To Remind Those Who Have Been Here,exp.php?ID=56785
tripper122,Jul 31 2017, ,LSD,A Puddle In The Middle of The Ocean,exp.php?ID=105578
Furious George,Jul 25 2017, ,LSD,Chuck E. Cheese Trip,exp.php?ID=68350
SnakeEyes,Dec 16 2016, ,LSD,It's Always More,exp.php?ID=76425
Psychonautika,Jul 26 2016, ,LSD,A Runner's Zen Garden - 5k on 50ug,exp.php?ID=108882
sakithin,Mar 26 2016, ,LSD,What's So Funny,exp.php?ID=108184
Azgaza,Feb 18 2016, ,LSD,Walking Into the Nothing and the Tree People,exp.php?ID=77295
H H,Dec 27 2015, ,LSD,There Was This One Sweet Tart ,exp.php?ID=65647
Rogue Bagel,Jan 18 2014, ,LSD,9 Easy Steps,exp.php?ID=96439
LizL,Jan 11 2014, ,LSD,Viewing the Galleries,exp.php?ID=68377
Symptom6,Nov 15 2013, ,LSD,Brushing the Common Decency of the Human Soul,exp.php?ID=72952
